title,brand_name,original_price,discount_price,discount_amount,discount_percentage,rating,review_count,battery_capacity(Ah),battery_life(year),battery_voltage(V),mileage_per_charge(Km),motor(W),maximum_speed(km/hr)
ACCELERATERIDE ACCELERATE RIDE | RIDE ONE |45 KM RANGE|30kmph by,ACCELERATERIDE,49999,34174,15825,31.65%,3.82,55,7.65,3,13.75,68,350,26
Neelam N.E.2.9-NAVY BLUE-10.4AH-REMOVABLE BATTERY 29 inches Singl,NEELAM,39999,29750,10249,25.62%,2.88,2,10.4,4,13.75,45,979,26
SS Bikes CargoX Heavy Duty Electric Cycle| 45KM+ Range| 36V/10AH,SS,51000,45177,5823,11.42%,3.82,55,10,2,36,68,350,26
SS Bikes Cosmos Premium Electric Cycle| 45KM+Range| 36V/10AH Batt,SS,41000,35582,5418,13.21%,3.82,55,10,2,36,68,250,26
"SS Bikes Retro Bolt, 36V/7.8AH Bat, 40 km Range, 22'' (Li-ion) El",SS,35499,30175,5324,15.00%,3.82,55,7.8,2,36,68,504,26
SS Bikes Cosmos Standard Electric Cycle 35+ KM Range 25 Km/h Spee,SS,32500,27802,4698,14.46%,3.82,55,7.8,2,36,68,920,26
"SS Bikes CargoX Heavy Duty Electric Cycle, 40-45 Km Range, 36V/10",SS,54000,45027,8973,16.62%,3.82,55,10,2,36,68,529,26
"SS Bikes Cosmos Premium Model, 35+Km, 36V/7.5Ah, Single Speed Ele",SS,38999,33358,5641,14.46%,3.82,55,7.5,2,36,68,250,26
EMotorad ST-X City Cycle with 7.65Ah Black 28 inches Single Speed,EMOTORAD,35999,35999,0,0.00%,4.02,96,7.65,5,7.31,105,529,24
Neelam Shockbuzz-Shox-Electric Bicycle 20T | Foldable Handle Stem,NEELAM,43999,30789,13210,30.02%,2.88,2,7.8,4,13.75,45,250,26
Neelam N.E-2.9T-7.8AH-REMOVABLE BATTERY 29 inches Single Speed Li,NEELAM,39999,29751,10248,25.62%,2.88,2,7.8,4,13.75,45,504,26
Neelam Shockbuzz-NI-1.0-10.4AH-26T 26 inches Single Speed Lithium,NEELAM,33000,29548,3452,10.46%,2.88,2,10.4,4,13.75,45,504,26
Neelam PZM-ICEBLUE-7.8AH-26T 26 inches Single Speed Lithium-ion (,NEELAM,31241,26659,4582,14.67%,2.88,2,7.8,4,13.75,45,529,26
Neelam FATBIKE-7.8AH-KAHKI 26 inches Single Speed Lithium-ion (Li,NEELAM,41999,35845,6154,14.65%,2.7,3,7.8,4,13.75,45,250,26
Motovolt Kivo Black Range upto 75 Km in PAS Mode 26 inches Single,MOTOVOLT,44999,35499,9500,21.11%,4,32,12,4,8.63,75,529,26
Neelam Shockbuzz-NS1.0-7.8AH 26 inches Single Speed Lithium-ion (,NEELAM,35999,25848,10151,28.20%,2.88,2,7.8,4,13.75,45,979,26
