title,brand_name,original_price,discount_price,discount_amount,discount_percentage,rating,review_count,battery_capacity(Ah),battery_life(year),battery_voltage(V),mileage_per_charge(km),motor(W),maximum_speed(km/hr)
Electric Bike with Anti Theft Alarm & Burgler Security | Heavy-Duty E-scooty with USB Charging Point & Reverse Gear Feature (NKSL001_ Peacock Blue),Electric,35998,35998,0,0.00%,5,1,5.8,1,500,30,35,25
Electric Bike with Anti Theft Alarm & Burgler Security | Heavy-Duty E-scooty with USB Charging Point & Reverse Gear Feature (NKSL002_Red),Electric,35998,35998,0,0.00%,5,1,5.8,1,500,30,35,25
Electric Bike with Anti Theft Alarm & Burgler Security | Heavy-Duty E-scooty with USB Charging Point & Reverse Gear Feature (NKSL003_ Grey),Electric,35998,35998,0,0.00%,5,1,5.8,1,500,120,35,25
Electric Bike with Anti Theft Alarm & Burgler Security | Heavy-Duty E-scooty with USB Charging Point & Reverse Gear Feature (NKSL003_Red),Electric,35998,35998,0,0.00%,5,1,5.8,1,500,30,35,25
Electric Cycle (Black),Electric,46999,46999,0,0.00%,5,1,15,2,500,47,35,25
Electric Scooter Child Seat Front for Motorcycle Pedal Scooter Electric Bike black1 Seat1 Storage 1 StrapSporting GoodsSporting Goods|Sporting Goods|Sporting Goods,Electric,12829,8600,4229,32.96%,5,1,8.1,1,500,47,33,25
EMotorad Dope Kids E-Bike | High Tensile Steel Frame | 5.2Ah Removable Battery | Cluster C2 Display | 3 Levels of Pedal Assist | 250W Rear Hub Motor | Single Speed | 15 km/h Speed | Up to 22 km Range,EMotorad,25999,19999,6000,23.08%,3.9,12,5.2,1,500,15,25,15
EMotorad Legend 07 Black 27.5 inches 7 Speed Lithium-ion (Li-ion) Electric Cycle,EMotorad,39999,32999,7000,17.50%,4.25,239,7.65,5,500,50,25,25
"EMotorad X1 Electric Cycle for Men & Women | 36V 7.65Ah Battery Cycle | Up to 35KM Range, 25 km/h Speed | 27.5” Electric Bicycle with Front Suspension (Ruby Red)",EMotorad,29999,25999,4000,13.33%,4.25,239,7.65,1,36,35,25,25
"EMotorad X1 Electric Cycle for Men & Women | 36V 7.65Ah Battery Cycle | Up to 35KM Range, 25 km/h Speed | 27.5” Electric Bicycle with Front Suspension, Front Light & Mudguard (Sky Blue)",EMotorad,32999,27999,5000,15.15%,4.25,239,7.65,5,36,35,25,25
"EMotorad Xcape G1 Electric Cargo Cycle, 48V 250W Motor, 100km Range, Dual Batteries, Heavy-Duty Frame, Black (Orange)",EMotorad,79999,79999,0,0.00%,5,1,10.2,2,48,100,25,23
Enakshi E-Bike Rear Light 6V-60V Night Tailight Easy Install Fit for Electric Bike Waterproof Connector|Sporting Goods|Cycling|Bicycle Accessories |Package Includes:1 x Tailight,Enakshi,2549,1699,850,33.35%,4.08,69,17.56,2,6,48,26,25
Enakshi Electric Bike LCD Display 22.2mm Dia Handlebar Accessories LCD Display Meter|Sporting Goods|Cycling|Bicycle Components & Parts |Package Includes:1 Electric Bike LCD Display,Enakshi,7895,5263,2632,33.34%,4.08,69,17.56,2,500,48,26,25
Enakshi Generic Bike Seat with Backrest for Road Bicycle Electric Bike Tricycle|Sporting Goods|Cycling|Bicycle Components & Parts |Package Includes:1 Bike Saddle with Backrest,Enakshi,8103,5402,2701,33.33%,4.08,69,17.56,2,500,48,26,25
"EV GO Electric Bicycle Pedelec, Speed Upto 25 KM/HR Throttle and Classic Mode for Women and Men BLDC Electric Motor Mileage 35 KM per Charge Negligible Running Cost Make in India",EV,34500,30000,4500,13.04%,1.5,4,6.6,1,500,25,26,25
HABROK Alloy Electric Cycle 21 Speed with Front Suspension Dual disc Brake (27.5),HABROK,23999,23999,0,0.00%,4.08,69,7.8,1,500,50,25,25
Heileo H200 | Hybrid Electric Cycle | India's Lightest eBikes | 60 KM Range | Removable Battery | 8-Speed Shimano Cassette Gears | 19 x 700c (Medium),Heileo,62990,62990,0,0.00%,4.4,6,7.8,1,500,60,7,25
Heileo M100 | Mountain Electric Cycle | India's Lightest eBikes | 80 KM Range | Removable Battery | 7-Speed Shimano Gears | 16 x 27.5 (Medium),Heileo,50990,50990,0,0.00%,3.4,10,20,1,500,80,7,25
"HIPPO 2020 Electric Bike with Front Suspension & Dual DISC Brake, Detachable Battery, Tyre 26x2.35, for Mens Adults Ideal Height 5Ft- 7inch. Frame 18.5"" - Black- F.Orange",HIPPO,51000,35000,16000,31.37%,5,1,735,1,500,36,26,25
HORNBACK UniByk Electric Cycle 27.5 Inch | Easy Access Frame E-Bike | 60 Km Range | Pedal Assist & Throttle (Moonlight White),HORNBACK,26999,26999,0,0.00%,4.6,14,7.8,2,500,60,25,15
"HORNBACK X1 Pro Foldable Electric Bicycle 27.5 Inch | 250W BLDC Motor, 75Km Range, 13Ah Removable Battery | Shimano Altus 21-Speed | Throttle + Pedal Assist + Cruise Control | Cycle for Men & Women",HORNBACK,31999,31999,0,0.00%,4.2,27,13,2,500,75,25,22
HORNBACK X1Pro V2 Electric Cycle 27.5 Inch | 75 km Pedal Assist | 13Ah Removable Battery | Shimano Gears | Front Lockout Suspension | LCD Display | Delivered 98% Assembled | Men & Women | Ocean Blue,HORNBACK,40269,40269,0,0.00%,5,1,13,2,500,75,25,25
HORNBACK X1s V2 Electric Cycle 27.5 Inch | 75 km Pedal Assist | 13 Ah Battery | Single Speed | Front Suspension | LCD Display | Delivered 98% Assembled | Men & Women | Radioactive Green,HORNBACK,40269,40269,0,0.00%,4.6,14,13,2,500,75,25,25
"Kidsmate Ride Xtreme Electric Bike for Kids | 6V Battery, MP3 Player, USB, Bluetooth, LED Lights & Foot Accelerator | Battery-Operated Ride-On Bike with Backrest for Boys & Girls Aged 1-5 Years",Kidsmate,18999,4499,14500,76.32%,3.5,825,4,5,6,48,26,25
"Leader E-Power L7 27.5T Electric Cycle with Front Suspension & Dual DISC Brake | Front LED Light and Horn (Li-Ion Battery, 250W BLDC Motor)| 1 Year Warranty on Battery & Motor (Grey-Orange)",Leader,60000,23999,36001,60.00%,3.5,181,17.56,1,500,5,25,25
MATELCO IRIS Ei26 Aluminium Alloy 26 inches 7 Gear Lithium-ion (Li-ion) Electric Cycle,MATELCO,49999,37999,12000,24.00%,4.08,69,8.36,1,500,33,17,33
"MATELCO Ubero Electric Cycle 26"" inch MTB Cycle Front Suspension Double Disc Brake 26 T Mountain Cycle (Single Speed, White)",MATELCO,5912,5912,0,0.00%,4.08,69,5.8,1,500,105,25,30
MATELCO Ultra EA 26x300 TYRE NEON 26 inches Single Speed Lithium-ion (Li-ion) Electric Cycle,MATELCO,375,375,0,0.00%,4.08,69,8.36,1,500,28,6,28
"MATELCO Ultra EA24 Electric Cycle TYRE 24x300 with 7.65Ah Removable Battery, Front Suspension, 250W BLDC Motor, Quick Acceleration, 90% Assembled (Black ICE)",MATELCO,35998,35998,0,0.00%,4.08,69,7.65,1,500,35,3,30
MATELCO Ultra EA27 Electric Bicycle 27.5 Inch Pedal Assist with Double Disc Breakers Yellow (7.5 AH),MATELCO,35998,35998,0,0.00%,4.08,69,7.5,1,500,35,25,30
MATELCO Urbano EA26 12.5AH Battery 26 inches Single Speed Lithium-ion (Li-ion) Electric Cycle,MATELCO,35998,35998,0,0.00%,4.08,69,12.5,1,500,28,25,28
"Mild Steel Hub Motor Autoline Espeed 24 Electric Bicycle, 4 Hours",Mild,29999,27999,2000,6.67%,4.08,69,11,1,500,25,26,25
Motovolt HUM 24 Electric Cycle - Standard | 75 Km Range | 250W 36V BLDC Motor | Removable Battery - 12Ah Lithium-ion | 120 Kg Load Capacity | Dual Suspension | 24” Tyres | Carbon Grey,Motovolt,37999,37999,0,0.00%,3.6,3,12,1,36,75,25,15
Motovolt HUM Electric Cycle - Standard | 105 Km Range | 250W 36V BLDC Motor | Removable Battery - 16Ah Lithium-ion | 120 Kg Load Capacity | Dual Suspension | 26” Tyres | Black,Motovolt,39769,39769,0,0.00%,3.8,53,16,1,36,105,25,16
"Motovolt Kivo 24 Standard Electric Cycle | 36V 250W BLDC Motor | Up to 75 KM Range | 12 Ah Removable Li-ion Battery (IP65, BIS Certified) | 110 kg Payload | Front Suspension | 24” Tyres | Carbon Grey",Motovolt,31999,31999,0,0.00%,3.82,63,12,1,36,75,25,15
Motovolt KIVO Easy Electric Cycle - LITE | 45 Km Range | 250W 36V BLDC Motor | Removable Battery - 6Ah Lithium-ion | 110 Kg Load Capacity |Front Suspension | 26” Tyres | Aqua Blue,Motovolt,19999,19999,0,0.00%,3.7,117,6,1,36,45,25,15
Motovolt KIVO Easy Electric Cycle - Standard | 105 Km Range | 250W 36V BLDC Motor | Removable Battery - 16Ah Lithium-ion| 110 Kg Load Capacity | Front Suspension | 26” Tyres | Aqua Blue,Motovolt,37999,37999,0,0.00%,4,10,16,1,36,105,25,25
Motovolt URBN E Bike | URBN Standard Long Range | Range up to 120 Kms in Pedal Assist Mode | Electric Cycle (Red & White),Motovolt,39769,39769,0,0.00%,4,134,8.5,1,500,120,35,25
Neelam Bull FIRE 27.5T Unisex Electric Bike | 36V 250W Inbuilt Battery | 7.8Ah | Disk Brake | Suspension Fork | Inbuilt Carrier | 30KM Range | Metallic Grey,Neelam,35599,27499,8100,22.75%,5,1,7.8,1,36,30,25,19
Neelam Bull FIRE Unisex Electric Bicycle 26T | Inbuilt Carrier | 36V 250W Battery | 7.8Ah | Suspension Fork | Disk Brake | 35KM Range |Mettalic Grey,Neelam,35599,27999,7600,21.35%,4.51,5,7.8,1,36,35,25,15
Neelam E BULLFIRE Unisex Electric BicycleT27.5 High Tensile Steel Frame|Disk Brake|Outer Battery36V-250W|10.4AH|Suspension Fork|Battery Indication Display|Saddle with Memory Foam Color Lemon Green,Neelam,35999,29499,6500,18.06%,3.1,6,10.4,1,36,37,25,15
"Neelam E Inferno Unisex Electric Bicycle T-27.5"" High Tensile Steel Frame| Disk Brake|Outer Battery 36V-250W|10.4 AH| Suspension Fork|LED Display|Memory Foam Saddle Color- RED",Neelam,32999,29499,3500,10.61%,5,4,10.4,1,36,37,25,15
Neelam E PRIZM Unisex Electric Bicycle T-26 High Tensile Steel Frame| Disk Brake|INBUILT Battery 36V-250W |7.8AH|Suspension Fork|Battery Indication Display |Saddle with Memory Foam Color-Ice Blue,Neelam,29499,26999,2500,8.47%,3.5,11,7.8,1,36,27,25,15
Neelam E PRIZM Unisex Electric Bicycle T-26 High Tensile Steel Frame|Disk Brake|INBUILT Battery 36V-250W |7.8AH|Suspension Fork|Battery Indication Display |Saddle with Memory Foam Color-Light Pink,Neelam,29999,26999,3000,10.00%,3.5,11,7.8,1,36,27,25,15
Neelam E VETON 26T Electric Cycle for Men & Women | 250W Motor | Inbuilt 7.8Ah Battery | Disc Brakes | Suspension | Confetti Black,Neelam,33599,26999,6600,19.64%,4.51,5,7.8,1,500,27,25,15
Neelam Fat Bike 4.0 Unisex Electric Bicycle 26T | 36V 350W Battery | 10.4Ah | Double Crown Suspension Fork | Disk Brake | LED Display | PU Foam Saddle |Khaki,Neelam,45999,37999,8000,17.39%,5,2,10.4,1,36,27,35,19
Neelam N.E 2.9 Electric Cycle for Men & Women | 29T Strong Steel Frame | 36V 250W Motor | 10.4Ah Removable Battery | Dual Disc Brakes | LED Display | Royal Blue,Neelam,41999,31999,10000,23.81%,5,2,10.4,1,36,33,25,25
Neelam N.E 2.9 Electric Cycle for Men & Women | 29T Strong Steel Frame | 36V 250W Motor | 7.8Ah Removable Battery | Dual Disc Brakes | LED Display | Royal Blue,Neelam,41999,29999,12000,28.57%,4.51,5,7.8,1,36,27,25,25
Neelam Shockbuzz NB 1.0 Electric Bicycle 26T | 36V 250W Motor | 7.8Ah Removable Battery | Dual Disc Brakes | Front Suspension | Memory Foam Saddle | Unisex E-Cycle | Blue,Neelam,35499,27999,7500,21.13%,5,4,7.8,1,36,27,25,19
Neelam Shockbuzz NB 1.0 Electric Bicycle 27.5T | Detachable Carrier | 30KM Range | 36V 250W Motor | 7.8Ah Battery | Front Suspension Fork | Dual Disc Brakes | Unisex E-Cycle | Blue,Neelam,35999,26999,9000,25.00%,5,2,7.8,1,36,30,25,25
Neelam Shockbuzz NI 1.0 Electric Bicycle 26T with Rear Carrier | 30KM Range | 36V 250W Motor | 7.8Ah Removable Battery | Dual Disc Brakes | Front Suspension | Unisex E-Cycle | Yellow,Neelam,29999,27999,2000,6.67%,5,2,7.8,1,36,30,25,19
Neelam SHOCKBUZZ NP 1.0 Unisex Electric Bicycle T-26 High Tensile Steel Frame| Disk Brake|INBUILT Battery 10.4 AH|Susp. Fork|Battery Indication Display |Saddle with Memory Foam|L.Grey,Neelam,33489,27999,5490,16.39%,4.51,5,10.4,2,500,37,26,19
Neelam SHOCKBUZZ NP 1.0 Unisex Electric Bicycle T-26 High Tensile Steel Frame| Disk Brake|INBUILT Battery 36V-250W |7.8AH|Susp.Fork|Battery Indication Display |Saddle with Memory Foam Color- L.Grey,Neelam,31241,26499,4742,15.18%,4.51,5,7.8,2,36,27,25,19
